No;Tanggal ;Tweet_clean;Tweet_stemming;Label_sentiment
1;08/01/2025;Coretax down Gak bisa bikin Faktur otomatis gak bisa billing dan gak ada pembayaran PPN Harusnya kan yang pusing Negara kan Yang butuh pemasukan PPN dan pajak siapa sih;coretax down faktur otomatis billing bayar ppn pusing negara butuh pasu ppn pajak;Negative
2;08/01/2025;udah capek bgt sama coretax sampe minta pemakluman ke bod kalo amit amit sampe kena denda itu murni kesalahan dari sistem sudi gak sudi tetep wp yg nanggung;capek banget coretax maklum bod amit amit kena denda murni salah sistem sudi sudi tetep wajib pajak nanggung;Negative
3;08/01/2025;Hai Kak Scr default saat menggunakan Coretax PIC merupakan penanggung jawab utama yg terdaftar di DJPOnline WP Badan Silakan pastikan siapa PIC tersebut pada menu Portal saya gt Profil saya gt Pihak terkait gt lalu cek di kolom Apakah Penanggung Jawab;default coretax pic tanggung utama daftar djponline wajib pajak badan sila pasti pic menu portal profil kait periksa kolom tanggung;Neutral
4;08/01/2025;kak saya sudah download nomor eskd dr coretax tapi pas input di djp online tidak valid gimana dong untuk pelaporan masa desember ini;unduh nomor eskd coretax pas input djp online valid lapor desember;Neutral
5;08/01/2025;Min ini sistem coretax error terus gak sesuai cari data geografisnya Padahal udah di geser ttp aja error Tolong dong sistemnya dibenerin t co CiZxnoSN;admin sistem coretax error sesuai cari data geografis geser error tolong sistem;Negative
6;08/01/2025;pelaporan SPT menggunakan coretax atau pake DJP lama min;lapor coretax pakai djp admin;Neutral
7;08/01/2025;Sudah semingguan mas malah saya minta cancel transaksi ke customer Telek banget lebih baik pakai sistem lama dah serius coretax bertahap jgn lsg Palentino Jebreett begini yg susah kite WP org pajak tinggal template jawabnya;minggu mas cancel transaksi konsumen telek banget pakai sistem serius coretax tahap langsung palentino jebreett susah kite wajib pajak orang pajak tinggal template;Negative
8;08/01/2025;yaallah buka twt jg masih aja diingetin muak bgt udh seminggu full ngurusin coretax takbirr;yaallah buka twitter diingetin muak banget minggu penuh ngurusin coretax takbir;Negative
9;17/01/2025;akhirnya yang ini kelar juga setelah Down Time kesekian muncul juga ini menu jam nocturnal coretax lancarr;kelar down sekian muncul menu jam nocturnal coretax lancarr;Positive
10;01/08/2025;Bkn buzzer Tp yg tgl januari mesti bayar kan lapornya msh pke djp kak Jd ngapain ousingin coretax;buzzer tanggal januari mesti bayar lapor pke djp ousingin coretax;Negative
11;01/08/2025;Coretax umurnya baru hr tp bikin kesel dan emosi Gara ini cash flow ke pending;coretax umur kesel emosi gara cash flow tunda;Negative
12;01/08/2025;Sebagai orang awam alias cuma jadi admin penagihan invoice dari awal januari udah numpuk tapi belum bisa ditukar faktur krn belum muncul faktur pajaknya perkara coretax coretax ini ya;orang awam alias admin tagih invoice januari tumpuk tukar faktur muncul faktur pajak perkara coretax coretax;Negative
13;01/08/2025;Drama coretax ni mau sampai kapan cobaa capek suketi melihatnya;drama coretax cobaa capek suket;Negative
14;01/08/2025;Biang kerok kesusahan itu adalah aplikasi coretax banyak pegawe pajak dan pegawe tax accounting sakit fisik psikis dan mental gara program jadian ini;biang kerok susah aplikasi coretax pegawe pajak pegawe tax accounting sakit fisik psikis mental gara program jadi;Negative
